route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
116648,ALLGO,322,Lijn 322 (R-net) Almere Parkwijk - A'dam Amstel,,3,e00713,ffffff,
116649,ALLGO,326,Lijn 326 (R-net) Almere Stad - Blaricum P+R,,3,e00713,ffffff,
116650,ALLGO,327,Lijn 327 (R-net) Almere Haven - Amsterdam Amstel,,3,e00713,ffffff,
116651,ALLGO,330,Lijn 330 (R-net) Almere Buiten - A'dam Bijlmer,,3,e00713,ffffff,
116652,ALLGO,N22,Lijn N22 (NightGo) A'dam Leidsepl.- Almere Buiten,,3,f59c00,000000,
116653,ALLGO,N23,Lijn N23 (NightGo) A'dam Centraal - Almere Centrum,,3,e00713,ffffff,
116654,ALLGO,M1,Lijn M1 (Havenmetro) Stat. Centrum - Haven Centrum,,3,0067a7,ffffff,
116655,ALLGO,M2,Lijn M2 (Buitenmetro) Stat. Centrum - Striphelden,,3,0ba13b,ffffff,
116656,ALLGO,M3,Lijn M3 (Muziekmetro) Stat. Centrum - Muziekwijk,,3,e00713,ffffff,
116657,ALLGO,M4,Lijn M4 (Poortmetro) Stat. Centrum - Stat. Poort,,3,fdc300,000000,
116658,ALLGO,M5,Lijn M5 (Dansmetro) Stat. Centrum  - Parkwijk,,3,f59c00,000000,
116659,ALLGO,M6,Lijn M6 (Noorderplassenmetro) Stat. Cen. - Nrdpl.,,3,007a86,ffffff,
116660,ALLGO,M7,Lijn M7 (Parkmetro) Stat. Centrum - Oostvaarders,,3,912e7b,ffffff,
116661,ALLGO,M8,Lijn M8 (Nobelhorstmetro) Stat. Centr - Nobelhorst,,3,cdd500,000000,
116662,ALLGO,22,Lijn 22 (FlexiGo) Station Buiten - De Vaart,,3,858c96,ffffff,
116663,ALLGO,24,Lijn 24 (DuinGo) Station Poort - Duin,,3,858c96,ffffff,
122005,ARR,3,P3 - Vertrekhallen - Plaza,,3,,,
122052,ARR,1,Capital Programme - Plaza,,3,,,
126523,ARR,11,Maastricht Station via Centrum - Station.,,3,c6a572,000000,
127911,ARR,60,Echt - Maria Hoop,,3,00becd,000000,
127912,ARR,61,Roermond via Montfort - Echt,,3,00becd,000000,
127913,ARR,62,Roermond via Herkenbosch - Roermond.,,3,00becd,000000,
127914,ARR,63,Roermond via Posterholt - Roermond.,,3,00becd,000000,
127915,ARR,66,Venlo via Reuver - Roermond,,3,00becd,000000,
127916,ARR,67,Roermond via Linne - Echt,,3,00becd,000000,
127917,ARR,68,Roermond via Stevensweert - Echt,,3,00becd,000000,
127918,ARR,70,Venlo via Meijel - Weert,,3,00becd,000000,
127919,ARR,71,Weert via Roggel - Meijel,,3,00becd,000000,
127920,ARR,72,Roermond via Panningen - Venlo,,3,00becd,000000,
127921,ARR,73,Roermond - Weert,,3,00becd,000000,
127922,ARR,74,Nederweert via Weert - Stramproy,,3,00becd,000000,
127923,ARR,75,Meijel - Roermond,,3,00becd,000000,
127924,ARR,76,Maasbracht - Ell,,3,00becd,000000,
127925,ARR,77,Venlo via Kessel - Roermond,,3,00becd,000000,
127926,ARR,78,Baarlo - Grashoek,,3,00becd,000000,
127927,ARR,79,Horst/Sevenum - Panningen,,3,00becd,000000,
127928,ARR,80,Venray Station via Venray Centrum - Deurne,,3,00becd,000000,
127929,ARR,81,Venray via Wanssum - Well,,3,00becd,000000,
127930,ARR,83,Nijmegen - Venlo,,3,00becd,000000,
127931,ARR,84,Boxmeer - Gennep,,3,00becd,000000,
127932,ARR,85,Siebengewald - Boxmeer,,3,00becd,000000,
127933,ARR,86,Venlo via Greenport - Horst,,3,00becd,000000,
127934,ARR,87,Venlo via Horst/Sevenum - Venray,,3,00becd,000000,
127935,ARR,88,Venlo via Grubbenvorst - Venray Station,,3,00becd,000000,
127936,ARR,89,Venray via Horst/Lottum - Venlo,,3,00becd,000000,
127937,ARR,279,Lottum - Evertsoord,,3,00becd,000000,
127938,ARR,289,Venray Station - Horst,,3,00becd,000000,
127939,ARR,298,Merselo - Blitterswijck,,3,00becd,000000,
127940,ARR,1,Venlo Station via Tegelen - Kaldenkirchen,,3,ff00ff,000000,
127941,ARR,2,Blerick Klingerberg - Venlo Station,,3,800080,ffffff,
127942,ARR,3,Blerick Vossener - Venlo Station,,3,339966,000000,
127943,ARR,4,Venlo Station via Stalberg - Venlo Station.,,3,ffcc00,000000,
127944,ARR,5,Venlo Station via Noorderpoort - Venlo Station.,,3,0000ff,ffffff,
127945,ARR,1,Kitskensberg via Donderberg - Roermond Station,,3,ff00ff,000000,
127946,ARR,2,Roermond - Herten,,3,800080,ffffff,
127947,ARR,1,Weert Station - Weert Boshoven,,3,ff00ff,000000,
127948,ARR,2,Weert Station - Laar,,3,800080,ffffff,
127949,ARR,3,Weert Station - Leuken,,3,339966,000000,
127950,ARR,4,Weert Station - Altweerterheide,,3,ffcc00,000000,
127957,ARR,790,Weert via Ittervoort - Heythuysen,,3,00becd,000000,
127958,ARR,794,Boukoul - Roermond Leeuwen,,3,00becd,000000,
127959,ARR,796,Heythuysen - Nederweert,,3,00becd,000000,
127960,ARR,811,Vlinder Venlo,,3,00becd,000000,
127961,ARR,881,Vlinder Venray,,3,00becd,000000,
127962,ARR,1,Malberg via MUMC - De Heeg,,3,ff00ff,000000,
127963,ARR,2,Oud Caberg via Heer - De Heeg,,3,800080,ffffff,
